category,frequency,percent,asi
C,1,12.5,ASI 9
G,1,12.5,ASI 9
MA,1,12.5,ASI 9
OL,1,12.5,ASI 9
S,1,12.5,ASI 9
SPR,1,12.5,ASI 9
Seagrass,1,12.5,ASI 9
TWS,1,12.5,ASI 9
C,1,14.285714285714285,ASI 9
G,1,14.285714285714285,ASI 9
MA,1,14.285714285714285,ASI 9
OL,1,14.285714285714285,ASI 9
S,1,14.285714285714285,ASI 9
SPR,1,14.285714285714285,ASI 9
TWS,1,14.285714285714285,ASI 9
C,1,14.285714285714285,ASI 9
G,1,14.285714285714285,ASI 9
MA,1,14.285714285714285,ASI 9
OL,1,14.285714285714285,ASI 9
S,1,14.285714285714285,ASI 9
SPR,1,14.285714285714285,ASI 9
TWS,1,14.285714285714285,ASI 9
C,1,14.285714285714285,ASI 9
G,1,14.285714285714285,ASI 9
MA,1,14.285714285714285,ASI 9
OL,1,14.285714285714285,ASI 9
S,1,14.285714285714285,ASI 9
SPR,1,14.285714285714285,ASI 9
TWS,1,14.285714285714285,ASI 9
C,1,14.285714285714285,ASI 9
G,1,14.285714285714285,ASI 9
MA,1,14.285714285714285,ASI 9
OL,1,14.285714285714285,ASI 9
S,1,14.285714285714285,ASI 9
SPR,1,14.285714285714285,ASI 9
TWS,1,14.285714285714285,ASI 9
C,1,12.5,ASI 2
G,1,12.5,ASI 2
MA,1,12.5,ASI 2
OL,1,12.5,ASI 2
S,1,12.5,ASI 2
SPR,1,12.5,ASI 2
Seagrass,1,12.5,ASI 2
TWS,1,12.5,ASI 2
C,1,12.5,ASI 2
G,1,12.5,ASI 2
MA,1,12.5,ASI 2
OL,1,12.5,ASI 2
S,1,12.5,ASI 2
SPR,1,12.5,ASI 2
Seagrass,1,12.5,ASI 2
TWS,1,12.5,ASI 2
C,1,12.5,ASI 3
G,1,12.5,ASI 3
MA,1,12.5,ASI 3
OL,1,12.5,ASI 3
S,1,12.5,ASI 3
SPR,1,12.5,ASI 3
Seagrass,1,12.5,ASI 3
TWS,1,12.5,ASI 3
C,1,14.285714285714285,ASI 2
G,1,14.285714285714285,ASI 2
MA,1,14.285714285714285,ASI 2
S,1,14.285714285714285,ASI 2
SPR,1,14.285714285714285,ASI 2
Seagrass,1,14.285714285714285,ASI 2
TWS,1,14.285714285714285,ASI 2
C,1,14.285714285714285,ASI 2
G,1,14.285714285714285,ASI 2
MA,1,14.285714285714285,ASI 2
OL,1,14.285714285714285,ASI 2
S,1,14.285714285714285,ASI 2
SPR,1,14.285714285714285,ASI 2
TWS,1,14.285714285714285,ASI 2
C,1,12.5,ASI 3
G,1,12.5,ASI 3
MA,1,12.5,ASI 3
OL,1,12.5,ASI 3
S,1,12.5,ASI 3
SPR,1,12.5,ASI 3
Seagrass,1,12.5,ASI 3
TWS,1,12.5,ASI 3
C,1,12.5,ASI 3
G,1,12.5,ASI 3
MA,1,12.5,ASI 3
OL,1,12.5,ASI 3
S,1,12.5,ASI 3
SPR,1,12.5,ASI 3
Seagrass,1,12.5,ASI 3
TWS,1,12.5,ASI 3
C,1,12.5,ASI 3
G,1,12.5,ASI 3
MA,1,12.5,ASI 3
OL,1,12.5,ASI 3
S,1,12.5,ASI 3
SPR,1,12.5,ASI 3
Seagrass,1,12.5,ASI 3
TWS,1,12.5,ASI 3
C,1,12.5,ASI 5
G,1,12.5,ASI 5
MA,1,12.5,ASI 5
OL,1,12.5,ASI 5
S,1,12.5,ASI 5
SPR,1,12.5,ASI 5
Seagrass,1,12.5,ASI 5
TWS,1,12.5,ASI 5
C,1,12.5,ASI 7
G,1,12.5,ASI 7
MA,1,12.5,ASI 7
OL,1,12.5,ASI 7
S,1,12.5,ASI 7
SPR,1,12.5,ASI 7
Seagrass,1,12.5,ASI 7
TWS,1,12.5,ASI 7
C,1,12.5,ASI 7
G,1,12.5,ASI 7
MA,1,12.5,ASI 7
OL,1,12.5,ASI 7
S,1,12.5,ASI 7
SPR,1,12.5,ASI 7
Seagrass,1,12.5,ASI 7
TWS,1,12.5,ASI 7
C,1,12.5,ASI 9
G,1,12.5,ASI 9
MA,1,12.5,ASI 9
OL,1,12.5,ASI 9
S,1,12.5,ASI 9
SPR,1,12.5,ASI 9
Seagrass,1,12.5,ASI 9
TWS,1,12.5,ASI 9
C,1,12.5,ASI 9
G,1,12.5,ASI 9
MA,1,12.5,ASI 9
OL,1,12.5,ASI 9
S,1,12.5,ASI 9
SPR,1,12.5,ASI 9
Seagrass,1,12.5,ASI 9
TWS,1,12.5,ASI 9
C,1,14.285714285714285,ASI 9
G,1,14.285714285714285,ASI 9
MA,1,14.285714285714285,ASI 9
OL,1,14.285714285714285,ASI 9
S,1,14.285714285714285,ASI 9
SPR,1,14.285714285714285,ASI 9
TWS,1,14.285714285714285,ASI 9
C,1,14.285714285714285,ASI 9
G,1,14.285714285714285,ASI 9
MA,1,14.285714285714285,ASI 9
OL,1,14.285714285714285,ASI 9
S,1,14.285714285714285,ASI 9
SPR,1,14.285714285714285,ASI 9
TWS,1,14.285714285714285,ASI 9
C,1,12.5,ASI 9
G,1,12.5,ASI 9
MA,1,12.5,ASI 9
OL,1,12.5,ASI 9
S,1,12.5,ASI 9
SPR,1,12.5,ASI 9
Seagrass,1,12.5,ASI 9
TWS,1,12.5,ASI 9
C,1,14.285714285714285,ASI 9
G,1,14.285714285714285,ASI 9
MA,1,14.285714285714285,ASI 9
OL,1,14.285714285714285,ASI 9
S,1,14.285714285714285,ASI 9
SPR,1,14.285714285714285,ASI 9
TWS,1,14.285714285714285,ASI 9
C,1,12.5,ASI 2
G,1,12.5,ASI 2
MA,1,12.5,ASI 2
OL,1,12.5,ASI 2
S,1,12.5,ASI 2
SPR,1,12.5,ASI 2
Seagrass,1,12.5,ASI 2
TWS,1,12.5,ASI 2
C,1,12.5,ASI 2
G,1,12.5,ASI 2
MA,1,12.5,ASI 2
OL,1,12.5,ASI 2
S,1,12.5,ASI 2
SPR,1,12.5,ASI 2
Seagrass,1,12.5,ASI 2
TWS,1,12.5,ASI 2
C,1,12.5,ASI 3
G,1,12.5,ASI 3
MA,1,12.5,ASI 3
OL,1,12.5,ASI 3
S,1,12.5,ASI 3
SPR,1,12.5,ASI 3
Seagrass,1,12.5,ASI 3
TWS,1,12.5,ASI 3
C,1,12.5,ASI 2
G,1,12.5,ASI 2
MA,1,12.5,ASI 2
OL,1,12.5,ASI 2
S,1,12.5,ASI 2
SPR,1,12.5,ASI 2
Seagrass,1,12.5,ASI 2
TWS,1,12.5,ASI 2
C,1,12.5,ASI 2
G,1,12.5,ASI 2
MA,1,12.5,ASI 2
OL,1,12.5,ASI 2
S,1,12.5,ASI 2
SPR,1,12.5,ASI 2
Seagrass,1,12.5,ASI 2
TWS,1,12.5,ASI 2
C,1,12.5,ASI 3
G,1,12.5,ASI 3
MA,1,12.5,ASI 3
OL,1,12.5,ASI 3
S,1,12.5,ASI 3
SPR,1,12.5,ASI 3
Seagrass,1,12.5,ASI 3
TWS,1,12.5,ASI 3
C,1,14.285714285714285,ASI 3
G,1,14.285714285714285,ASI 3
MA,1,14.285714285714285,ASI 3
OL,1,14.285714285714285,ASI 3
S,1,14.285714285714285,ASI 3
SPR,1,14.285714285714285,ASI 3
TWS,1,14.285714285714285,ASI 3
C,1,14.285714285714285,ASI 3
G,1,14.285714285714285,ASI 3
MA,1,14.285714285714285,ASI 3
OL,1,14.285714285714285,ASI 3
S,1,14.285714285714285,ASI 3
SPR,1,14.285714285714285,ASI 3
TWS,1,14.285714285714285,ASI 3
C,1,12.5,ASI 5
G,1,12.5,ASI 5
MA,1,12.5,ASI 5
OL,1,12.5,ASI 5
S,1,12.5,ASI 5
SPR,1,12.5,ASI 5
Seagrass,1,12.5,ASI 5
TWS,1,12.5,ASI 5
C,1,14.285714285714285,ASI 7
G,1,14.285714285714285,ASI 7
MA,1,14.285714285714285,ASI 7
OL,1,14.285714285714285,ASI 7
S,1,14.285714285714285,ASI 7
SPR,1,14.285714285714285,ASI 7
TWS,1,14.285714285714285,ASI 7
C,1,12.5,unk
G,1,12.5,unk
MA,1,12.5,unk
OL,1,12.5,unk
S,1,12.5,unk
SPR,1,12.5,unk
Seagrass,1,12.5,unk
TWS,1,12.5,unk
C,1,12.5,ASI 9
G,1,12.5,ASI 9
MA,1,12.5,ASI 9
OL,1,12.5,ASI 9
S,1,12.5,ASI 9
SPR,1,12.5,ASI 9
Seagrass,1,12.5,ASI 9
TWS,1,12.5,ASI 9
C,1,12.5,ASI 9
G,1,12.5,ASI 9
MA,1,12.5,ASI 9
OL,1,12.5,ASI 9
S,1,12.5,ASI 9
SPR,1,12.5,ASI 9
Seagrass,1,12.5,ASI 9
TWS,1,12.5,ASI 9
C,1,12.5,ASI 9
G,1,12.5,ASI 9
MA,1,12.5,ASI 9
OL,1,12.5,ASI 9
S,1,12.5,ASI 9
SPR,1,12.5,ASI 9
Seagrass,1,12.5,ASI 9
TWS,1,12.5,ASI 9
C,1,16.666666666666664,ASI 9
G,1,16.666666666666664,ASI 9
MA,1,16.666666666666664,ASI 9
S,1,16.666666666666664,ASI 9
SPR,1,16.666666666666664,ASI 9
TWS,1,16.666666666666664,ASI 9
C,1,12.5,ASI 9
G,1,12.5,ASI 9
MA,1,12.5,ASI 9
OL,1,12.5,ASI 9
S,1,12.5,ASI 9
SPR,1,12.5,ASI 9
Seagrass,1,12.5,ASI 9
TWS,1,12.5,ASI 9
C,1,14.285714285714285,ASI 9
G,1,14.285714285714285,ASI 9
MA,1,14.285714285714285,ASI 9
OL,1,14.285714285714285,ASI 9
S,1,14.285714285714285,ASI 9
SPR,1,14.285714285714285,ASI 9
TWS,1,14.285714285714285,ASI 9
C,1,12.5,ASI 2
G,1,12.5,ASI 2
MA,1,12.5,ASI 2
OL,1,12.5,ASI 2
S,1,12.5,ASI 2
SPR,1,12.5,ASI 2
Seagrass,1,12.5,ASI 2
TWS,1,12.5,ASI 2
C,1,12.5,ASI 2
G,1,12.5,ASI 2
MA,1,12.5,ASI 2
OL,1,12.5,ASI 2
S,1,12.5,ASI 2
SPR,1,12.5,ASI 2
Seagrass,1,12.5,ASI 2
TWS,1,12.5,ASI 2
C,1,12.5,ASI 3
G,1,12.5,ASI 3
MA,1,12.5,ASI 3
OL,1,12.5,ASI 3
S,1,12.5,ASI 3
SPR,1,12.5,ASI 3
Seagrass,1,12.5,ASI 3
TWS,1,12.5,ASI 3
C,1,12.5,ASI 2
G,1,12.5,ASI 2
MA,1,12.5,ASI 2
OL,1,12.5,ASI 2
S,1,12.5,ASI 2
SPR,1,12.5,ASI 2
Seagrass,1,12.5,ASI 2
TWS,1,12.5,ASI 2
C,1,12.5,ASI 2
G,1,12.5,ASI 2
MA,1,12.5,ASI 2
OL,1,12.5,ASI 2
S,1,12.5,ASI 2
SPR,1,12.5,ASI 2
Seagrass,1,12.5,ASI 2
TWS,1,12.5,ASI 2
C,1,14.285714285714285,ASI 3
G,1,14.285714285714285,ASI 3
MA,1,14.285714285714285,ASI 3
OL,1,14.285714285714285,ASI 3
S,1,14.285714285714285,ASI 3
SPR,1,14.285714285714285,ASI 3
TWS,1,14.285714285714285,ASI 3
C,1,14.285714285714285,ASI 3
G,1,14.285714285714285,ASI 3
MA,1,14.285714285714285,ASI 3
OL,1,14.285714285714285,ASI 3
S,1,14.285714285714285,ASI 3
SPR,1,14.285714285714285,ASI 3
TWS,1,14.285714285714285,ASI 3
C,1,12.5,ASI 3
G,1,12.5,ASI 3
MA,1,12.5,ASI 3
OL,1,12.5,ASI 3
S,1,12.5,ASI 3
SPR,1,12.5,ASI 3
Seagrass,1,12.5,ASI 3
