Site,species,TagLab Centroid x,TagLab Centroid y,TagLab Perimeter,TagLab Area,asi
M48_51_2023,Porites_astreoides,1395.7,830.9,27.2,36.23,ASI 9
M48_51_2023,Porites_astreoides,1474,768.7,10.8,4.01,ASI 9
M48_51_2023,Porites_astreoides,3361.8,313.3,11.7,8.98,ASI 9
M48_51_2023,Porites_astreoides,6061.5,469.8,16,15.2,ASI 9
M48_51_2023,Porites_astreoides,5998.7,713,47.1,122.27,ASI 9
M48_51_2023,Porites_astreoides,6140.4,244.2,64.4,116.05,ASI 9
M48_51_2023,Porites_astreoides,8893.6,654.1,7.1,3.62,ASI 9
M48_51_2023,Porites_astreoides,8397.5,1027.2,6.8,3.27,ASI 9
M48_51_2023,Porites_astreoides,8165.8,1426.9,13.8,8.24,ASI 9
M48_51_2023,Porites_astreoides,7010,1671.7,29.2,57.27,ASI 9
M48_51_2023,Porites_astreoides,6252.4,1227.2,17.4,17.04,ASI 9
M48_51_2023,Porites_astreoides,6296.6,1128.1,47.7,61.26,ASI 9
M48_51_2023,Porites_astreoides,6189.6,968.3,22.2,25.77,ASI 9
M48_51_2023,Porites_astreoides,6273.5,912.4,37.8,63.12,ASI 9
M48_51_2023,Porites_astreoides,5976.2,1565,13.6,9.99,ASI 9
M48_51_2023,Porites_astreoides,5590.2,1332.8,19.3,22.57,ASI 9
M48_51_2023,Porites_astreoides,5263.8,1298.6,52.5,105.69,ASI 9
M48_51_2023,Porites_astreoides,5360.6,1621.9,18.1,19.09,ASI 9
M48_51_2023,Porites_astreoides,5233.8,1497.2,17.9,16.24,ASI 9
M48_51_2023,Porites_astreoides,5267.8,1424.1,35.7,29.14,ASI 9
M48_51_2023,Porites_astreoides,5129.5,1178.7,12.7,8.39,ASI 9
M48_51_2023,Porites_astreoides,4036.8,1219.3,12.2,9.75,ASI 9
M48_51_2023,Porites_astreoides,4062,1152.1,8.9,5.3,ASI 9
M48_51_2023,Porites_astreoides,4063.5,1574.8,8.1,4.42,ASI 9
M48_51_2023,Porites_astreoides,4110.6,1611.9,6,2.54,ASI 9
M48_51_2023,Porites_astreoides,4074.5,1622.9,5.1,1.56,ASI 9
M48_51_2023,Porites_astreoides,3729,869.8,9.1,5.63,ASI 9
M48_51_2023,Porites_astreoides,1244.2,2320.5,40.5,107.13,ASI 9
M48_51_2023,Porites_astreoides,1245,2438.7,14,12.97,ASI 9
M48_51_2023,Porites_astreoides,1853.1,2031.9,28.8,30.99,ASI 9
M48_51_2023,Porites_astreoides,2895.4,2218.6,9.6,5.44,ASI 9
M48_51_2023,Porites_astreoides,7926.7,1781.5,9.5,6.51,ASI 9
M48_51_2023,Porites_astreoides,9286.6,2108.6,16.4,17.27,ASI 9
M48_51_2023,Porites_astreoides,9449.4,1772,13.5,11.66,ASI 9
M48_51_2023,Porites_astreoides,9177.8,2214.3,10.3,6.36,ASI 9
M48_51_2023,Porites_astreoides,9743.2,1742.3,40.8,110.95,ASI 9
M48_51_2023,Porites_astreoides,10170.6,2193,11.2,7.68,ASI 9
M48_51_2023,Porites_astreoides,10504.2,2653.2,29.7,48.96,ASI 9
M48_51_2023,Porites_astreoides,5972.3,2964,20.8,28.95,ASI 9
M48_51_2023,Porites_astreoides,6269,3214.8,10.7,7.57,ASI 9
M48_51_2023,Porites_astreoides,6125.9,3356.9,12.4,10.6,ASI 9
M48_51_2023,Porites_astreoides,5959.9,2732.1,7,3.31,ASI 9
M48_51_2023,Porites_astreoides,5789.6,2916,18.6,20.35,ASI 9
M48_51_2023,Porites_astreoides,5734.1,2891.1,11.6,9.48,ASI 9
M48_51_2023,Porites_astreoides,5461.8,3422,14.4,12.68,ASI 9
M48_51_2023,Porites_astreoides,4798.8,3031.6,9.9,5.63,ASI 9
M48_51_2023,Porites_astreoides,4428.1,2649.9,14.7,14.41,ASI 9
M48_51_2023,Porites_astreoides,3938.8,2820,16.3,10.31,ASI 9
M48_51_2023,Porites_astreoides,3668.8,2716.1,12.6,11.3,ASI 9
M48_51_2023,Porites_astreoides,2568.7,2742.4,5.3,2.04,ASI 9
M48_51_2023,Porites_astreoides,2433.1,3129.7,13,8.97,ASI 9
M48_51_2023,Porites_astreoides,1750.3,2972.9,6.9,3.36,ASI 9
M48_51_2023,Porites_astreoides,3256.1,3431.8,6.2,2.75,ASI 9
M48_51_2023,Porites_astreoides,3133.3,3503.9,24.6,31.5,ASI 9
M48_51_2023,Porites_astreoides,3271.4,4249.1,84.4,184.38,ASI 9
M48_51_2023,Porites_astreoides,8211.1,3677.9,14.4,9.1,ASI 9
M48_51_2023,Porites_astreoides,10350,4470.4,9.5,6.11,ASI 9
M48_51_2023,Porites_astreoides,8386,4837,8.6,5.17,ASI 9
M48_51_2023,Porites_astreoides,7948,4977.1,36.2,87.22,ASI 9
M48_51_2023,Porites_astreoides,5986.2,4324.4,7.9,4.27,ASI 9
M48_51_2023,Porites_astreoides,4219.9,4449,67.5,113.16,ASI 9
M48_51_2023,Porites_astreoides,3844.6,4687.3,36.3,53.26,ASI 9
M48_51_2023,Porites_astreoides,3526.9,4714.7,25.1,34.32,ASI 9
M48_51_2023,Porites_astreoides,2042.9,4951.4,8.9,5.71,ASI 9
M48_51_2023,Porites_astreoides,1140.4,4713.2,8.8,5.31,ASI 9
M48_51_2023,Porites_astreoides,914.7,5591.2,13.7,12.1,ASI 9
M48_51_2023,Porites_astreoides,1345.1,5747.8,34.8,62.89,ASI 9
M48_51_2023,Porites_astreoides,1870.4,5726.5,55.5,104.12,ASI 9
M48_51_2023,Porites_astreoides,2006.7,5646,19.1,20.82,ASI 9
M48_51_2023,Diploria_labyrinthiformis,2627.3,5497.9,53,119.74,ASI 9
M48_51_2023,Porites_astreoides,3111.7,5233.2,90.4,261.16,ASI 9
M48_51_2023,Porites_astreoides,3826.1,5634.9,11,6.69,ASI 9
M48_51_2023,Porites_astreoides,4261.2,5732.8,22.3,32.39,ASI 9
M48_51_2023,Porites_astreoides,4459.8,5579,16.3,12.79,ASI 9
M48_51_2023,Porites_astreoides,5250.7,5633.2,12.9,10.99,ASI 9
M48_51_2023,Porites_astreoides,5341.3,5742.3,56.1,94.26,ASI 9
M48_51_2023,Porites_astreoides,5539.8,5450.1,8.9,4.47,ASI 9
M48_51_2023,Porites_astreoides,5546.6,5406.2,7.3,3.38,ASI 9
M48_51_2023,Porites_astreoides,6456.5,5647.5,14.8,12.99,ASI 9
M48_51_2023,Porites_astreoides,6401.4,5507.7,13.8,11.73,ASI 9
M48_51_2023,Porites_astreoides,8244.7,5319.3,52.8,132.8,ASI 9
M48_51_2023,Porites_astreoides,9652.1,5833.8,12.3,9.43,ASI 9
M48_51_2023,Porites_astreoides,9968.5,5601.6,25.4,42.51,ASI 9
M48_51_2023,Porites_astreoides,9691.9,5493.9,21.4,23.25,ASI 9
M48_51_2023,Porites_astreoides,10339.8,5376,8.3,4.49,ASI 9
M48_51_2023,Porites_astreoides,8474.7,6083.5,24,26.1,ASI 9
M48_51_2023,Porites_astreoides,9150.6,6790,84,340.74,ASI 9
M48_51_2023,Porites_astreoides,7549.1,6240.9,21.9,30.44,ASI 9
M48_51_2023,Porites_astreoides,5375,6559.1,21.5,26.3,ASI 9
M48_51_2023,Porites_astreoides,4446.9,6632.6,59.5,140.4,ASI 9
M48_51_2023,Porites_astreoides,3906.2,5932.5,10.2,7.54,ASI 9
M48_51_2023,Porites_astreoides,3826.2,6284.5,8.1,4.46,ASI 9
M48_51_2023,Porites_astreoides,1747.4,6129.2,22.2,25.64,ASI 9
M48_51_2023,Porites_astreoides,1679.4,6125.6,19.8,26,ASI 9
M48_51_2023,Porites_astreoides,1766,6419.1,43.1,55.75,ASI 9
M48_51_2023,Porites_astreoides,1619.5,6214.1,18.3,18.82,ASI 9
M48_51_2023,Porites_astreoides,1651,6588.9,9.2,5.88,ASI 9
M48_51_2023,Porites_astreoides,1261.9,7384.7,31.8,55.01,ASI 9
M48_51_2023,Porites_astreoides,1494,7402.6,44,80.89,ASI 9
M48_51_2023,Porites_astreoides,4108.4,6994,62.6,181.98,ASI 9
M48_51_2023,Porites_astreoides,4348.7,6800.4,34.5,49.29,ASI 9
M48_51_2023,Porites_astreoides,8148.9,7657.7,66.4,278.25,ASI 9
M48_51_2023,Porites_astreoides,8944.2,6915.5,18.5,23.88,ASI 9
M48_51_2023,Porites_astreoides,10493.7,7513.7,14.3,14.58,ASI 9
M48_51_2023,Porites_astreoides,10931.1,7735.7,9.9,5.82,ASI 9
M48_51_2023,Porites_astreoides,10091.1,8264.5,21.8,30.99,ASI 9
M48_51_2023,Porites_astreoides,8638.8,8453.6,13.3,12.15,ASI 9
M48_51_2023,Porites_astreoides,7514.2,7825.7,35.1,69.53,ASI 9
M48_51_2023,Porites_astreoides,6747.3,8001.9,41.6,38.69,ASI 9
M48_51_2023,Porites_astreoides,6730,8345.1,15.1,11.61,ASI 9
M48_51_2023,Porites_astreoides,6473.1,8148,15.5,14.04,ASI 9
M48_51_2023,Porites_astreoides,6617.7,7962.7,25,32.32,ASI 9
M48_51_2023,Diploria_labyrinthiformis,6409.6,7902.2,52.9,181.89,ASI 9
M48_51_2023,Porites_astreoides,5224.1,7995.9,22.3,18.45,ASI 9
