Site,Year,Avg_rugosity,asi
M48_51,2023,1.2140411987879902,Western Culebra
M48_51,2024,1.1366569335769479,Western Culebra
M48_51,2025,1.2605657170612339,Western Culebra
R13,2023,1.6267445407923398,Western Culebra
R13,2024,1.6994253010956457,Western Culebra
R13,2025,1.9314333704581725,Western Culebra
R46,2023,1.7527659676449756,Western Culebra
R46,2024,1.6825408996801885,Western Culebra
R46,2025,1.753787443717443,Western Culebra
R49,2023,1.6617369892496379,Western Culebra
R49,2024,1.5237008885679786,Western Culebra
R49,2025,1.4629203689548091,Western Culebra
R89,2023,1.4444224162751158,Western Culebra
R89,2024,1.512149967752387,Western Culebra
R89,2025,1.3034620012644709,Western Culebra
T04_07,2023,1.4679852194454668,Western Culebra
T04_07,2024,1.5429452056080204,Western Culebra
T04_07,2025,1.5504926626426843,Western Culebra
T1,2023,1.2379430439215462,La Cordillera
T1,2024,1.2828608747273702,La Cordillera
T1,2025,1.200189437938482,La Cordillera
T11,2023,1.6464009553840835,Isla Pineros
T11,2024,1.5164098183899475,Isla Pineros
T11,2025,1.3550678954972544,Isla Pineros
T12,2023,1.3240889145307881,Bajo Chinchorro
T12,2024,1.2787481079039218,Bajo Chinchorro
T12,2025,1.1990157633151621,Bajo Chinchorro
T13,2023,1.2791095143247733,Bajo Chinchorro
T13,2024,1.3747938362135965,Bajo Chinchorro
T13,2025,1.280927998586864,Bajo Chinchorro
T14,2023,1.270099409033828,Bajo Chinchorro
T2,2023,1.3173106670330197,La Cordillera
T2,2024,1.3003154769246275,La Cordillera
T2,2025,1.283334863983532,La Cordillera
T3,2023,1.3405030783778484,Isla Palominos
T3,2024,1.3141568329047941,Isla Palominos
T3,2025,1.3250491378353106,Isla Palominos
T4,2023,2.043167637632626,La Cordillera
T4,2024,1.9233414255042716,La Cordillera
T4,2025,1.689843733680915,La Cordillera
T5,2023,1.4174598698016183,La Cordillera
T5,2024,1.3150614093205075,La Cordillera
T5,2025,1.3672068775234159,La Cordillera
T6,2023,1.4785845192381109,Isla Palominos
T6,2024,1.3764013637441646,Isla Palominos
T6,2025,1.4607369706108344,Isla Palominos
T7,2023,1.8142085928536544,Isla Palominos
T7,2024,2.0544792048514933,Isla Palominos
T7,2025,1.8124310932409313,Isla Palominos
T9,2023,1.2387743169440335,Isla Palominos
T9,2024,1.262722871409265,Isla Palominos
T9,2025,1.216088600818607,Isla Palominos
