"YEAR","REGION","site","DEPTH ZONE","TRANSECT","Rugosity (m)","Reef overhang","species","percentcover"
1999,"South","Berbería","shallow (8-14m)",1,"2.94","4.79","Acropora_cervicornis",0
1999,"South","Berbería","shallow (8-14m)",1,"2.94","4.79","Acropora_palmata",0
1999,"South","Berbería","shallow (8-14m)",1,"2.94","4.79","Agaricia_agaricites",0
1999,"South","Berbería","shallow (8-14m)",1,"2.94","4.79","Agaricia_fragilis",0
1999,"South","Berbería","shallow (8-14m)",1,"2.94","4.79","Agaricia_humilis",0
1999,"South","Berbería","shallow (8-14m)",1,"2.94","4.79","Agaricia_lamarcki",0
1999,"South","Berbería","shallow (8-14m)",1,"2.94","4.79","Colpophyllia_natans",0
1999,"South","Berbería","shallow (8-14m)",1,"2.94","4.79","Dendrogyra_cylindrus",0
1999,"South","Berbería","shallow (8-14m)",1,"2.94","4.79","Diploria_labyrinthiformis",0
1999,"South","Berbería","shallow (8-14m)",1,"2.94","4.79","Madracis_decactis",0
1999,"South","Berbería","shallow (8-14m)",1,"2.94","4.79","Meandrina_meandrites",0
1999,"South","Berbería","shallow (8-14m)",1,"2.94","4.79","Montastraea_cavernosa",6.88
1999,"South","Berbería","shallow (8-14m)",1,"2.94","4.79","Mycetophyllia_aliciae",0
1999,"South","Berbería","shallow (8-14m)",1,"2.94","4.79","Mycetophyllia_ferox",0
1999,"South","Berbería","shallow (8-14m)",1,"2.94","4.79","Mycetophyllia_lamarckiana",0
1999,"South","Berbería","shallow (8-14m)",1,"2.94","4.79","Porites_astreoides",6.57
1999,"South","Berbería","shallow (8-14m)",1,"2.94","4.79","Porites_furcata",0
1999,"South","Berbería","shallow (8-14m)",1,"2.94","4.79","Porites_porites",0
1999,"South","Berbería","shallow (8-14m)",1,"2.94","4.79","Pseudodiploria_clivosa",0
1999,"South","Berbería","shallow (8-14m)",1,"2.94","4.79","Pseudodiploria_strigosa",0
1999,"South","Berbería","shallow (8-14m)",1,"2.94","4.79","Siderastrea_radians",0
1999,"South","Berbería","shallow (8-14m)",1,"2.94","4.79","Siderastrea_siderea",1.93
1999,"South","Berbería","shallow (8-14m)",1,"2.94","4.79","Stephanocoenia_intersepta",0
1999,"South","Berbería","shallow (8-14m)",2,"2.06","0.00","Acropora_cervicornis",0
1999,"South","Berbería","shallow (8-14m)",2,"2.06","0.00","Acropora_palmata",0
1999,"South","Berbería","shallow (8-14m)",2,"2.06","0.00","Agaricia_agaricites",0
1999,"South","Berbería","shallow (8-14m)",2,"2.06","0.00","Agaricia_fragilis",0
1999,"South","Berbería","shallow (8-14m)",2,"2.06","0.00","Agaricia_humilis",0
1999,"South","Berbería","shallow (8-14m)",2,"2.06","0.00","Agaricia_lamarcki",0
1999,"South","Berbería","shallow (8-14m)",2,"2.06","0.00","Colpophyllia_natans",0
1999,"South","Berbería","shallow (8-14m)",2,"2.06","0.00","Dendrogyra_cylindrus",0
1999,"South","Berbería","shallow (8-14m)",2,"2.06","0.00","Diploria_labyrinthiformis",0
1999,"South","Berbería","shallow (8-14m)",2,"2.06","0.00","Madracis_decactis",0
